,class,language,question
36,ORGANIZATION,it,Quali etnie hanno combattuto in Ruanda?
37,ORGANIZATION,es,¿Qué dos etnias están en conflicto en Ruanda?
38,ORGANIZATION,nl,Welke bevolkingsgroepen voerden oorlog in Rwanda?
39,ORGANIZATION,en,Which racial groups fought in Rwanda?
40,PERSON,it,Chi è il presidente degli Stati Uniti?
41,PERSON,es,¿Quién es el presidente de Estados Unidos?
42,PERSON,nl,Wie is de president van de Verenigde Staten?
43,PERSON,en,Who is the president of the United States?
44,LOCATION,it,Qual è la capitale della Repubblica del Sud Africa?
45,LOCATION,es,¿Cuál es la capital de la República de Sudáfrica?
46,LOCATION,nl,Wat is de hoofdstad van Zuid-Afrika?
47,LOCATION,en,What is the capital of the Republic of South Africa?
48,ORGANIZATION,it,Come si chiama la compagnia aerea nazionale svizzera?
49,ORGANIZATION,es,¿Cómo se llama la compañía aérea nacional de Suiza?
50,ORGANIZATION,nl,Hoe heet de nationale luchtvaartmaatschappij van Zwitserland?
51,ORGANIZATION,en,What is the name of the Swiss national airline?
52,DATE,it,Quando nasce la CEE?
53,DATE,es,¿Cuándo se fundó la CEE?
54,DATE,nl,Wanneer is de EEG opgericht?
55,DATE,en,When was the EEC founded?
56,DATE,it,Quando viene firmato il Trattato di Roma?
57,DATE,es,¿Cuándo se firmó el Tratado de Roma?
58,DATE,nl,Wanneer werd het Verdrag van Rome getekend?
59,DATE,en,When was the Treaty of Rome signed?
60,DATE,it,Quando viene sottoscritto l'Atto Unico?
61,DATE,es,¿Cuándo se firmo el Acta Única Europea?
62,DATE,nl,Wanneer werd de Europese Akte getekend?
63,DATE,en,When was the Single European Act signed?
64,DATE,it,Quando è stato stipulato il Trattato di Maastricht?
65,DATE,es,¿Cuándo se firmó el Tratado de Maastricht?
66,DATE,nl,Wanner werd het Verdrag van Maastricht getekend?
67,DATE,en,When was the Maastricht Treaty signed?
68,LOCATION,it,Qual è il paese europeo col più alto tasso di consumo di alcol?
69,LOCATION,es,¿Qué país europeo es el mayor consumidor de alcohol?
70,LOCATION,nl,Welke Europees land heeft de hoogste alcoholconsumptie?
71,LOCATION,en,Which European country has the highest rate of alcohol consumption?
72,MEASURE,it,Quanti abitanti ha la Svezia?
73,MEASURE,es,¿Cuántos habitantes tiene Suecia?
74,MEASURE,nl,Hoeveel inwoners heeft Zweden?
75,MEASURE,en,How many inhabitants does Sweden have?
76,MEASURE,it,Quanti abitanti ha Berlino?
77,MEASURE,es,¿Cuántos habitantes tiene Berlín?
78,MEASURE,nl,Hoeveel inwoners heeft Berlijn?
79,MEASURE,en,How many inhabitants are there in Berlin?
80,MEASURE,it,Quanto costa una pillola di extasy in Olanda?
81,MEASURE,es,¿Cuánto cuesta una pastilla de éxtasis en Holanda?
82,MEASURE,nl,Hoeveel kost een XTC pil?
83,MEASURE,en,How much does a pill of extasy cost in Holland?
84,PERSON,it,Come si chiama il primo ministro Olandese?
85,PERSON,es,¿Cómo se llama el primer ministro holandés?
86,PERSON,nl,Hoe heet de Nederlandse premier?
87,PERSON,en,What is the name of the Dutch Prime Minister?
88,MEASURE,it,Quanti abitanti ebrei ha Israele?
89,MEASURE,es,¿Cuántos habitantes judíos hay en Israel?
90,MEASURE,nl,Hoeveel Joodse inwoners heeft Israel?
91,MEASURE,en,How many Jewish inhabitants does Israel have?
92,MEASURE,it,Quanti abitanti ha l'Iraq?
93,MEASURE,es,¿Cuántos habitantes hay en Irak?
94,MEASURE,nl,Hoeveel inwoners heeft Irak?
95,MEASURE,en,How many inhabitants does Iraq have?
96,MEASURE,it,Quanti sono gli stati membri delle Nazioni Unite?
97,MEASURE,es,¿Cuántos países miembros hay en las Naciones Unidas?
98,MEASURE,nl,Hoeveel lidstaten heeft de Verenigde Naties?
99,MEASURE,en,How many member countries are there in the United Nations?
100,DATE,it,Quando le Nazioni Unite hanno decretato l'embargo in Iraq?
101,DATE,es,¿Cuándo decidió Naciones Unidas imponer el embargo sobre Irak?
102,DATE,nl,Wanneer stelde de Verenigde Naties een embargo in tegen Irak?
103,DATE,en,When did the United Nations decide to impose the embargo on Iraq?
104,MEASURE,it,Quanti sono gli abitanti della Cecenia?
105,MEASURE,es,¿Cuántos habitantes tiene Chechenia?
106,MEASURE,nl,Hoeveel inwoners heeft Tsjetsjenië?
107,MEASURE,en,How many inhabitants does Chechnya have?
108,PERSON,it,Quale personaggio politico ha deciso di intervenire in Cecenia con truppe militari?
109,PERSON,es,¿Qué político decidió la intervención militar en Chechenia?
110,PERSON,nl,---
111,PERSON,en,Which politician decided to intervene militarily in Chechnya?
112,PERSON,it,Chi è il leader della Bosnia?
113,PERSON,es,¿Quién es el líder bosnio?
114,PERSON,nl,Wie is de leider van Bosnië?
115,PERSON,en,Who is the leader of Bosnia?
116,MEASURE,it,Qual è il valore di scambio dello yuan rispetto al dollaro?
117,MEASURE,es,¿Cuál es el cambio del yuan al dólar?
118,MEASURE,nl,Hoeveel is een yuan waard in dollars?
119,MEASURE,en,What is the exchange rate of the yuan to the dollar?
120,MEASURE,it,Quanti sono i cantoni svizzeri?
121,MEASURE,es,¿Cuántos cantones hay en Suiza?
122,MEASURE,nl,Hoeveel kantons zijn er in Zwitserland?
123,MEASURE,en,How many Swiss cantons are there?
124,DATE,it,Quando è stata abolita la pena di morte in Francia?
125,DATE,es,¿Cuándo fue abolida la pena de muerte en Francia?
126,DATE,nl,Wanneer werd de doodstraf afgeschaft in Frankrijk?
127,DATE,en,When was the death penalty abolished in France?
128,DATE,it,Quando è stata varata la legge sui crimini informatici?
129,DATE,es,¿Cuándo se aprobó la ley sobre crímenes informáticos?
130,DATE,nl,Wanneer trad de wet op de computercriminaliteit in werking?
131,DATE,en,When was the law on computer crimes passed?
132,PERSON,it,Chi è il presidente della Francia?
133,PERSON,es,¿Quién es el presidente de la república francesa?
134,PERSON,nl,Wie is de president van Frankrijk?
135,PERSON,en,Who is the President of the French Republic?
136,MEASURE,it,Per quanto tempo è stato al potere in Corea del Nord Kim Il Sung?
137,MEASURE,es,¿Cuánto tiempo ha estado en el poder Kim Il Sung en Corea del Norte?
138,MEASURE,nl,Hoe lang is Kim Il Sung aan de macht geweest in Noord-Korea?
139,MEASURE,en,How long has Kim Il Sung been in power in North Korea?
140,PERSON,it,Come si chiama il figlio di Kim Il Sung?
141,PERSON,es,¿Cómo se llama el hijo de Kim Il Sung?
142,PERSON,nl,Hoe heet de zoon van Kim Il Sung?
143,PERSON,en,What is the name of Kim Il Sung's son?
144,LOCATION,it,Qual è la capitale della Corea del Nord?
145,LOCATION,es,¿Cuál es la capital de Corea del Norte?
146,LOCATION,nl,Wat is de hoofdstad van Noord-Korea?
147,LOCATION,en,What is the capital of North Korea?
148,MEASURE,it,Quanti prigionieri politici ci sono in Corea del Nord?
149,MEASURE,es,¿Cuántos prisioneros políticos hay en Corea del Norte?
150,MEASURE,nl,Hoeveel politieke gevangenen zijn er in Noord-Korea?
151,MEASURE,en,How many political prisoners are there in North Korea?
152,PERSON,it,Chi è al potere a Pyongyang?
153,PERSON,es,¿Quién ostenta el poder en Pyongyang?
154,PERSON,nl,Wie is er aan de macht in Pyongyang?
155,PERSON,en,Who is in power in Pyongyang?
156,MEASURE,it,Quanti abitanti ha Mosca?
157,MEASURE,es,¿Cuántos habitantes hay en Moscú?
158,MEASURE,nl,Hoeveel inwoners telt Moskou?
159,MEASURE,en,How many inhabitants are there in Moscow?
160,DATE,it,Qual è la data dell'entrata in vigore del Trattato di Maastricht?
161,DATE,es,¿Qué día entró en vigor el Tratado de Maastricht?
162,DATE,nl,Op welke datum trad het Verdrag van Maastricht in werking?
163,DATE,en,On what day did the Maastricht Treaty come into effect?
164,DATE,it,In quale anno la Norvegia respinse con referendum popolare il Trattato di adesione all'Unione Europea?
165,DATE,es,¿En qué año Noruega rechazó mediante referendum entrar en la Comunidad Europea?
166,DATE,nl,In welk jaar besloot Noorwegen middels een referendum om niet toe te treden tot de Europese Gemeenschap?
167,DATE,en,In which year did Norway refuse with a referendum to enter the European Community?
168,PERSON,it,Chi è il presidente jugoslavo?
169,PERSON,es,¿Quién es el presidente de Yugoslavia?
170,PERSON,nl,Wie is de president van Joegoslavië?
171,PERSON,en,Who is the Yugoslavian president?
172,ORGANIZATION,it,Chi ha adottato una nuova Costituzione in Africa?
173,ORGANIZATION,es,¿Qué país de África ha adoptado una nueva constitución?
174,ORGANIZATION,nl,In welk land in Afrika is een nieuwe grondwet aangenomen?
175,ORGANIZATION,en,Who adopted a new constitution in Africa?
176,OTHER,it,Qual e` il risultato della partita ITALIA - NORVEGIA ai mondiali?
177,OTHER,es,¿Cuál fue el resultado del partido Italia-Noruega del mundial de fútbol?
178,OTHER,nl,Wat is de uitslag van de wedstrijd Italië-Noorwegen tijdens de WK?
179,OTHER,en,What is the score of the Italy-Norway match at the football World Cup?
180,DATE,it,Quando e`stata fondata la Repubblica del Sud Africa?
181,DATE,es,¿Cuándo se constituyó la República de Sudáfrica?
182,DATE,nl,Wanneer is de republiek Zuid-Afrika gesticht?
183,DATE,en,When was the Republic of South Africa founded?
184,PERSON,it,Chi è il fondatore dell'Ordine del Tempio Solare?
185,PERSON,es,¿Quién es el fundador de la Orden del Templo del Sol?
186,PERSON,nl,Wie is de oprichter van de Orde van de Zonnetempel?
187,PERSON,en,Who is the founder of the Order of the Solar Temple?
188,MEASURE,it,A che eta` e` morto Joseph di Mambro?
189,MEASURE,es,¿A qué edad murió Joseph di Mambro?
190,MEASURE,nl,Hoe oud was Joseph di Mambro toen hij stierf?
191,MEASURE,en,How old was Joseph di Mambro when he died?
192,MEASURE,it,A che distanza si trova la Terra dal Sole?
193,MEASURE,es,¿Cuál es la distancia entre la Tierra y el Sol?
194,MEASURE,nl,Wat is de afstand tussen de zon en de aarde?
195,MEASURE,en,What is the distance between the Earth and the sun?
196,MEASURE,it,A quanto ammonta la popolazione mondiale?
197,MEASURE,es,¿Cuál es la población mundial?
198,MEASURE,nl,Hoe groot is de wereldbevolking?
199,MEASURE,en,What is the world population?
200,MEASURE,it,Quante nazioni partecipano alla Conferenza Mondiale sulla Popolazione?
201,MEASURE,es,¿Cuántos países participaron en la Conferencia Mundial de Población?
202,MEASURE,nl,Hoeveel landen nemen deel aan de Internationale Conferentie over Bevolking en Ontwikkeling?
203,MEASURE,en,How many nations participate in the International Conference on Population?
204,LOCATION,it,In quale città è stata organizzata la Conferenza Mondiale sulla Popolazione?
205,LOCATION,es,¿En qué ciudad se celebró la Conferencia Mundial de Población?
206,LOCATION,nl,In welke stad werd de Internationale Conferentie over Bevolking en Ontwikkeling gehouden?
207,LOCATION,en,In which city was the International Conference on Population held?
208,DATE,it,In che anno la Spagna è entrata nella Comunità Europea?
209,DATE,es,¿En qué año entró España en la Comunidad Europea?
210,DATE,nl,In welk jaar trad Spanje toe tot de Europese Gemeenschap?
211,DATE,en,In which year did Spain enter the European Community?
212,PERSON,it,Chi è il presidente del Parlamento Europeo?
213,PERSON,es,¿Quién es el presidente del Parlamento Europeo?
214,PERSON,nl,Wie is de voorzitter van het Europese Parlement?
215,PERSON,en,Who is the president of the European Parliament?
216,PERSON,it,Chi è il presidente della Germania?
217,PERSON,es,¿Quién es el presidente de Alemania?
218,PERSON,nl,Wie is de Duitse bondspresident?
219,PERSON,en,Who is the president of Germany?
220,PERSON,it,Come si chiama il capo del governo federale australiano?
221,PERSON,es,¿Cómo se llama el jefe de gobierno de Australia?
222,PERSON,nl,Wie is het staatshoofd van Australië?
223,PERSON,en,What is the name of the head of the Australian Federal Government?
224,DATE,it,Quando è stato istituito il GATT?
225,DATE,es,¿Cuándo se creó el GATT?
226,DATE,nl,Wanneer is de GATT opgericht?
227,DATE,en,When was the GATT established?
228,ORGANIZATION,it,Che cosa indica la sigla GATT?
229,ORGANIZATION,es,¿Qué significan las siglas GATT?
230,ORGANIZATION,nl,Waar staat GATT voor?
231,ORGANIZATION,en,What does GATT stand for?
232,PERSON,it,Chi è il Ministro degli Esteri italiano?
233,PERSON,es,¿Quién es el presidente italiano de Asuntos Exteriores?
234,PERSON,nl,Wie is de Italiaanse minister van buitenlandse zaken?
235,PERSON,en,Who is the Italian minister for Foreign Affairs?
236,MEASURE,it,Quanto era lungo il Muro di Berlino?
237,MEASURE,es,¿Qué longitud tenía el muro de Berlín?
238,MEASURE,nl,Hoe lang was de Berlijnse Muur?
239,MEASURE,en,How long was the Berlin Wall?
240,DATE,it,Quando è salito al potere Eltsin?
241,DATE,es,¿Cuándo llegó al poder Yeltsin?
242,DATE,nl,Wanneer kwam Jeltsin aan de macht?
243,DATE,en,When did Yeltsin come to power?
244,OTHER,it,Come si chiama la moneta cinese?
245,OTHER,es,¿Cómo se llama la moneda china?
246,OTHER,nl,Wat is de Chinese munt?
247,OTHER,en,What is the name of the Chinese currency?
248,PERSON,it,Chi è il presidente della Russia?
249,PERSON,es,¿Quién es el presidente de Rusia?
250,PERSON,nl,Wie is de president van Rusland?
251,PERSON,en,Who is the president of Russia?
252,ORGANIZATION,it,Quale squadra ha vinto l'Euroclub di basket?
253,ORGANIZATION,es,¿Qué equipo ganó la Copa de Europa de Clubs de Baloncesto?
254,ORGANIZATION,nl,Welk team is Europees kampioen basketbal?
255,ORGANIZATION,en,Which team won the Euroclub basketball cup?
256,OTHER,it,Qual è il risultato della finale dell'Euroclub di pallacanestro?
257,OTHER,es,¿Cuál fue el resultado de la final de la Copa de Europa de Clubs de Baloncesto
258,OTHER,nl,Wat is de uitslag van de finale van het Europese kampioenschap basketbal?
259,OTHER,en,What is the score of the final match of Euroclub basketball cup?
260,PERSON,it,Chi è il presidente della Corea del Nord?
261,PERSON,es,¿Quién es el presidente de Corea del Norte?
262,PERSON,nl,Wie is de president van Noord-Korea?
263,PERSON,en,Who is the president of North Korea?
264,MEASURE,it,Quanti sono i paesi partecipanti all'Unione Europea?
265,MEASURE,es,¿Cuántos países son miembros de la Unión Europea?
266,MEASURE,nl,Hoeveel lidstaten telt de Europese Unie?
267,MEASURE,en,How many member countries of the European Union are there?
268,MEASURE,it,A quanto ammonta la popolazione asiatica?
269,MEASURE,es,¿Cuál es la población de Asia?
270,MEASURE,nl,Hoeveel inwoners telt Azië?
271,MEASURE,en,What is the population of Asia?
272,MEASURE,it,Quanti abitanti ha Sydney?
273,MEASURE,es,¿Cuántos habitantes tiene Sidney?
274,MEASURE,nl,Hoeveel inwoners heeft Sydney?
275,MEASURE,en,How many inhabitants does Sydney have?
276,MEASURE,it,Quanti abitanti ha la Corea del Nord?
277,MEASURE,es,¿Cuántos habitantes tiene Corea del Norte?
278,MEASURE,nl,Hoeveel inwoners heeft Noord-Korea?
279,MEASURE,en,How many inhabitants does North Korea have?
280,LOCATION,it,Da dove viene estratto il metano?
281,LOCATION,es,¿De dónde se extrae el metano?
282,LOCATION,nl,Waaruit wordt methaan gewonnen?
283,LOCATION,en,Where is methane extracted from?
284,LOCATION,it,Dove si è svolto il Vertice G7?
285,LOCATION,es,¿Dónde se celebró la cumbre del G7?
286,LOCATION,nl,Waar vond de bijeenkomst van de G7-landen plaats?
287,LOCATION,en,Where did the G7 summit take place?
288,OBJECT,it,Da quale sostanza si deriva il toluene?
289,OBJECT,es,¿A partir de qué sustancia se obtiene el tolueno?
290,OBJECT,nl,Waaruit wordt tolueen gewonnen?
291,OBJECT,en,From which substance is toluene derived?
292,MEASURE,it,Quanti motori ha un aereo?
293,MEASURE,es,¿Cuántos motores tiene un avión?
294,MEASURE,nl,Hoeveel motoren heeft een vliegtuig?
295,MEASURE,en,How many engines does an airplane have?
296,OTHER,it,Qual è la causa più frequente degli incidenti automobilistici?
297,OTHER,es,¿Cuál es la causa más frecuente de los accidentes de coche?
298,OTHER,nl,Waardoor worden de meeste verkeersongevallen veroorzaakt?
299,OTHER,en,What is the most frequent cause of car accidents?
300,LOCATION,it,Quale è il maggior produttore di petrolio al mondo?
301,LOCATION,es,¿Cuál es el principal país productor de petróleo en el mundo?
302,LOCATION,nl,Welke land is de grootste olie-producent ter wereld?
303,LOCATION,en,What is the main oil-producing country in the world?
304,MEASURE,it,Quanti morti causano ogni anno nel mondo le mine antiuomo?
305,MEASURE,es,¿Cuántos muertos al año causan las minas antipersona en el mundo?
306,MEASURE,nl,Hoeveel slachtoffers worden er per jaar door landmijnen veroorzaakt?
307,MEASURE,en,How many casualties do anti-personnel mines cause every year in the world?
308,LOCATION,it,Qual è il paese europeo con il più alto tasso di natalità?
309,LOCATION,es,¿Cuál es el país europeo con mayor tasa de natalidad?
310,LOCATION,nl,Welk land heeft het hoogste geboortecijfer in Europa?
311,LOCATION,en,What is the European country with the highest birth rate?
312,DATE,it,Quando è stato costruito il Muro di Berlino?
313,DATE,es,¿Cuándo se construyó el muro de Berlín?
314,DATE,nl,Wanneer werd de Berlijns Muur gebouwd?
315,DATE,en,When was the Berlin Wall built?
316,LOCATION,it,Dove è scoppiata la prima bomba atomica?
317,LOCATION,es,¿Dónde explotó la primera bomba atómica?
318,LOCATION,nl,Waar explodeerde de eerste atoombom?
319,LOCATION,en,Where did the first atomic bomb explode?
320,LOCATION,it,Qual è la capitale del Canada?
321,LOCATION,es,¿Cuál es la capital de Canadá?
322,LOCATION,nl,Wat is de hoofdstad van Canada?
323,LOCATION,en,What is the capital of Canada?
324,LOCATION,it,In quale stato americano si trova San Francisco?
325,LOCATION,es,¿En qué estado de Estados Unidos está San Francisco?
326,LOCATION,nl,In welke Amerikaanse staat ligt San Francisco?
327,LOCATION,en,In which American state is San Francisco?
328,LOCATION,it,In quale città europea si trova la Tour Eiffel?
329,LOCATION,es,¿En qué ciudad europea está la Torre Eiffel?
330,LOCATION,nl,In welke Europese stad bevindt zich de Eiffeltoren?
331,LOCATION,en,In which European city is the Eiffel Tower?
332,MEASURE,it,Quanti figli ha Silvio Berlusconi?
333,MEASURE,es,¿Cuántos hijos tiene Silvio Berlusconi?
334,MEASURE,nl,Hoeveel kinderen heeft Silvio Berlusconi?
335,MEASURE,en,How many offspring does Silvio Berlusconi have?
336,ORGANIZATION,it,Tra chi vennero sottoscritti i Patti Lateranensi?
337,ORGANIZATION,es,¿Entre qué partes fueron suscritos los Pactos Lateranenses?
338,ORGANIZATION,nl,Wie tekenden het verdrag van Lateranen?
339,ORGANIZATION,en,Between whom were the Lateran Pacts signed?
340,LOCATION,it,Dove si trova la Città del Vaticano?
341,LOCATION,es,¿Dónde está la Ciudad del Vaticano?
342,LOCATION,nl,Waar ligt Vaticaanstad?
343,LOCATION,en,Where is Vatican City?
344,LOCATION,it,Qual è la capitale della Russia?
345,LOCATION,es,¿Cuál es la capital de Rusia?
346,LOCATION,nl,Wat is de hoofdstad van Rusland?
347,LOCATION,en,What is the capital of Russia?
348,OTHER,it,Come si chiama la moneta usata in Russia?
349,OTHER,es,¿Cuál es la moneda de Rusia?
350,OTHER,nl,Hoe heet de Russische munt?
351,OTHER,en,What is the name of the currency used in Russia?
352,LOCATION,it,Dove si trova Haiti?
353,LOCATION,es,¿Dónde está Haití?
354,LOCATION,nl,Waar ligt Haïti?
355,LOCATION,en,Where is Haiti?
356,DATE,it,Quando è scoppiata la prima bomba atomica?
357,DATE,es,¿Cuándo explotó la primera bomba atómica?
358,DATE,nl,Wanneer explodeerde de eerste atoombom?
359,DATE,en,When did the first atomic bomb explode?
360,PERSON,it,Chi progettò la costruzione di S. Pietro?
361,PERSON,es,¿Quién proyectó la construcción de la catedral de San Pedro?
362,PERSON,nl,Wie organiseerde de bouw van de Sint Pieter?
363,PERSON,en,Who planned the construction of St. Peter's?
364,OBJECT,it,Cosa fecero sventolare sulla luna gli astronauti dell'Apollo nel 1969?
365,OBJECT,es,¿Qué hicieron ondear en la Luna los astronautas del Apolo en 1969?
366,OBJECT,nl,Waarmee zwaaiden de Apollo astronauten op de maan in 1969?
367,OBJECT,en,What did the Apollo astronauts wave on the moon in 1969?
368,OTHER,it,"Che premio hanno vinto Weinberg, Salam e Glashow?"
369,OTHER,es,"¿Qué premio fue concedido a Weinberg, Salam y Glashow?"
370,OTHER,nl,"Welke prijs hebben Weinberg, Salam en Glashow gewonnen?"
371,OTHER,en,"Which prize did Weinberg, Salam and Glashow win?"
372,LOCATION,it,Qual è il maggiore esportatore europeo di olio d'oliva?
373,LOCATION,es,¿Quién es el mayor exportador europeo de aceite de oliva?
374,LOCATION,nl,Welk land is de grootste exporteur van olijfolie in Europa?
375,LOCATION,en,Who is the main European exporter of olive oil?
376,MEASURE,it,Quanto costa mediamente un litro di olio di oliva?
377,MEASURE,es,¿Cuánto cuesta de media un litro de aceite de oliva?
378,MEASURE,nl,Hoeveel kost een liter olijfolie ongeveer?
379,MEASURE,en,How much does a litre of olive oil cost on average?
380,MEASURE,it,Quanti chilometri di coste ha l'Italia?
381,MEASURE,es,¿Cuántos kilómetros de costa tiene Italia?
382,MEASURE,nl,Hoe lang is de kustlijn van Italië in kilometers?
383,MEASURE,en,How many kilometres of coastline does Italy have?
384,DATE,it,"In quale mese avvenne il naufragio del traghetto ""Estonia""?"
385,DATE,es,¿En qué mes se produjo el naufragio del Estonia?
386,DATE,nl,In welke maand vond de scheepsramp met de Estonia plaats?
387,DATE,en,"In which month did the ferry ""Estonia"" shipwreck occur?"
388,MEASURE,it,"Quanti passeggeri perirono nel naufragio del traghetto ""Estonia""?"
389,MEASURE,es,¿Cuántos pasajeros murieron en el naufragio del ferry Estonia?
390,MEASURE,nl,Hoeveel slachtoffers waren er bij de scheepsramp met de Estonia?
391,MEASURE,en,"How many passengers died in the ferry ""Estonia"" shipwreck?"
392,LOCATION,it,"In quale oceano affondò il ""Titanic""?"
393,LOCATION,es,¿En qué océano se hundió el Titanic?
394,LOCATION,nl,In welke oceaan zonk de Titanic?
395,LOCATION,en,In which ocean did the Titanic sink?
396,LOCATION,it,Su quale mare si affaccia Stoccolma?
397,LOCATION,es,¿A orillas de qué mar está Estocolmo?
398,LOCATION,nl,Welke zee is in de buurt van Stockholm?
399,LOCATION,en,Which sea is near Stockholm?
400,LOCATION,it,"Da quale porto salpò il traghetto ""Estonia""?"
401,LOCATION,es,"¿De qué puerto partió el ferry ""Estonia""?"
402,LOCATION,nl,"Uit welke haven vertrok de veerboot ""Estonia""?"
403,LOCATION,en,"From which harbour did the ferry ""Estonia"" set sail?"
404,MEASURE,it,"Quante persone furono tratte in salvo dalle squadre di soccorso dopo l'affondamento del traghetto ""Estonia""?"
405,MEASURE,es,¿Cuántas personas fueron rescatadas por los equipos de socorro tras el naufragio del ferry Estonia?
406,MEASURE,nl,"Hoeveel mensen werden gered bij de ramp met de veerboot ""Estonia""?"
407,MEASURE,en,"How many people were led to safety by the rescue parties after the shipwreck of the ferry ""Estonia""?"
408,OTHER,it,Quale traghetto affondò a Sud-Est dell'isola di Uto?
409,OTHER,es,¿Qué ferry se hundió en el Sudeste de la isla Utoe?
410,OTHER,nl,Welke veerboot zonk ten zuidoosten van het eiland Utö?
411,OTHER,en,Which ferry sank the Southeast of Uto Island?
412,LOCATION,it,Dove nacque Adolf Hitler?
413,LOCATION,es,¿Dónde nació Adolfo Hitler?
414,LOCATION,nl,Waar is Adolf Hitler geboren?
415,LOCATION,en,Where was Adolf Hitler born?
416,PERSON,it,Quale generale statunitense aveva il comando dello Stato Maggiore alleato nel 1943?
417,PERSON,es,¿Qué general estadounidense estuvo al mando del estado mayor aliado en 1943?
418,PERSON,nl,Welke Amerikaanse generaal was opperbevelhebber van de geallieerden in 1943?
419,PERSON,en,Which American general was in charge of the Allied General Staff in 1943?
420,MEASURE,it,Quanti abitanti ha la Russia?
421,MEASURE,es,¿Cuántos habitantes tiene Rusia?
422,MEASURE,nl,Hoeveel inwoners heeft Rusland?
423,MEASURE,en,How many inhabitants does Russia have?
424,PERSON,it,Chi è il ministro dell'economia tedesco?
425,PERSON,es,¿Quién es el ministro de economía alemán?
426,PERSON,nl,Wie is de Duitse minister van economische zaken?
427,PERSON,en,Who is the German economy minister?
428,LOCATION,it,Qual è la capitale di Haiti?
429,LOCATION,es,¿Cuál es la capital de Haití?
430,LOCATION,nl,Wat is de hoofdstad van Haïti?
431,LOCATION,en,What is the capital of Haiti?
432,MEASURE,it,Quanti caschi blu spagnoli sono morti in Bosnia?
433,MEASURE,es,¿Cuántos soldados azules españoles murieron en Bosnia?
434,MEASURE,nl,Hoeveel Spaanse blauwhelmen overleden in Bosnië?
435,MEASURE,en,How many Spanish blue helmets died in Bosnia?
436,OTHER,it,Qual è la professione di Renzo Piano?
437,OTHER,es,¿Cuál es la profesión de Renzo Piano?
438,OTHER,nl,Welk beroep heeft Renzo Piano?
439,OTHER,en,What is Renzo Piano's job?
440,LOCATION,it,Dove è stato individuato un gigantesco giacimento di metano?
441,LOCATION,es,¿Dónde se ha localizado un gran yacimiento de metano?
442,LOCATION,nl,Waar werd een grote voorraad methaan ontdekt?
443,LOCATION,en,Where has a huge methane deposit been located?
444,LOCATION,it,In quale paese si trova la zona dei Grandi Laghi?
445,LOCATION,es,¿En qué país está la zona de los Grandes Lagos?
446,LOCATION,nl,In welk land ligt het gebied van de Grote Meren?
447,LOCATION,en,What country is the Big Lakes zone in?
448,MEASURE,it,Quanto dura mediamente l'addestramento di un pastore tedesco?
449,MEASURE,es,¿Cuánto dura de media el adiestramiento de un perro pastor alemán?
450,MEASURE,nl,Hoe lang duurt het om een Duitse herder te trainen?
451,MEASURE,en,How long does it take on average to train a German shepherd dog?
452,PERSON,it,"Chi era soprannominato ""la volpe del deserto""?"
453,PERSON,es,"¿Quién era conocido como el ""Zorro del Desierto""?"
454,PERSON,nl,"Wiens bijnaam was de ""woestijnvos""?"
455,PERSON,en,"Who was nicknamed ""The Desert Fox""?"
456,ORGANIZATION,it,Con quale sigla si indica la Federazione Svizzera dei Ferrovieri?
