,Unnamed: 0,class,language,question,pos,ner
28,28,PERSON,it,Chi ha fatto costruire il muro di Berlino?,"['PRON', 'AUX', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', 'LOC', 'LOC', 'LOC', '']"
29,29,PERSON,es,¿Quién construyó el muro de Berlín?,"['PUNCT', 'PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['PER', 'PER', '', '', '', '', 'MISC', '']"
30,30,PERSON,nl,Wie heeft de Berlijnse Muur gebouwd?,"['PRON', 'VERB', 'DET', 'ADJ', 'X', 'VERB', 'PUNCT']","['', '', '', 'LOC', 'LOC', '', '']"
31,31,PERSON,en,Who built the Berlin Wall?,"['PRON', 'VERB', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', 'FAC', 'FAC', 'FAC', '']"
32,32,PERSON,it,Chi è il presidente della Repubblica Italiana?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'PROPN', 'ADJ', 'PUNCT']","['', '', '', '', '', 'LOC', 'LOC', '']"
33,33,PERSON,es,¿Quién es el presidente de la República de Italia?,"['PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', 'LOC', 'LOC', 'LOC', '']"
34,34,PERSON,nl,Wie is de president van Italië?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
35,35,PERSON,en,Who is the president of the Republic of Italy?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', 'GPE', 'GPE', 'GPE', 'GPE', '']"
36,36,ORGANIZATION,it,Quali etnie hanno combattuto in Ruanda?,"['DET', 'NOUN', 'AUX', 'VERB', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
37,37,ORGANIZATION,es,¿Qué dos etnias están en conflicto en Ruanda?,"['PUNCT', 'PRON', 'NUM', 'NOUN', 'AUX', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', '', 'LOC', '']"
38,38,ORGANIZATION,nl,Welke bevolkingsgroepen voerden oorlog in Rwanda?,"['PRON', 'NOUN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
39,39,ORGANIZATION,en,Which racial groups fought in Rwanda?,"['DET', 'ADJ', 'NOUN', 'VERB', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', 'GPE', '']"
40,40,PERSON,it,Chi è il presidente degli Stati Uniti?,"['PRON', 'VERB', 'DET', 'NOUN', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'LOC', 'LOC', '']"
41,41,PERSON,es,¿Quién es el presidente de Estados Unidos?,"['PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', 'LOC', 'LOC', '']"
42,42,PERSON,nl,Wie is de president van de Verenigde Staten?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'LOC', 'LOC', '']"
43,43,PERSON,en,Who is the president of the United States?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'GPE', 'GPE', 'GPE', '']"
44,44,LOCATION,it,Qual è la capitale della Repubblica del Sud Africa?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'PROPN', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['LOC', '', '', '', '', 'LOC', 'LOC', 'LOC', 'LOC', '']"
45,45,LOCATION,es,¿Cuál es la capital de la República de Sudáfrica?,"['PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT']","['LOC', 'LOC', '', '', '', '', '', 'LOC', 'LOC', 'LOC', '']"
46,46,LOCATION,nl,Wat is de hoofdstad van Zuid-Afrika?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']","['', '', '', '', '', 'LOC', '', 'LOC', '']"
47,47,LOCATION,en,What is the capital of the Republic of South Africa?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', 'GPE', 'GPE', 'GPE', 'GPE', 'GPE', '']"
48,48,ORGANIZATION,it,Come si chiama la compagnia aerea nazionale svizzera?,"['ADV', 'PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADJ', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '', '', '']"
49,49,ORGANIZATION,es,¿Cómo se llama la compañía aérea nacional de Suiza?,"['PUNCT', 'PRON', 'PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADJ', 'ADP', 'PROPN', 'PUNCT']","['', 'LOC', '', '', '', '', '', '', '', 'LOC', '']"
50,50,ORGANIZATION,nl,Hoe heet de nationale luchtvaartmaatschappij van Zwitserland?,"['ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', 'LOC', '']"
51,51,ORGANIZATION,en,What is the name of the Swiss national airline?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', '', '', '', 'NORP', '', '', '']"
52,52,DATE,it,Quando nasce la CEE?,"['ADV', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', '', '', 'ORG', '']"
53,53,DATE,es,¿Cuándo se fundó la CEE?,"['PUNCT', 'PRON', 'PRON', 'VERB', 'DET', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', 'ORG', '']"
54,54,DATE,nl,Wanneer is de EEG opgericht?,"['CONJ', 'VERB', 'DET', 'NOUN', 'VERB', 'PUNCT']","['', '', '', 'ORG', '', '']"
55,55,DATE,en,When was the EEC founded?,"['ADV', 'VERB', 'DET', 'PROPN', 'VERB', 'PUNCT']","['', '', '', 'ORG', '', '']"
56,56,DATE,it,Quando viene firmato il Trattato di Roma?,"['ADV', 'AUX', 'VERB', 'DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', 'MISC', 'MISC', 'MISC', '']"
57,57,DATE,es,¿Cuándo se firmó el Tratado de Roma?,"['PUNCT', 'PRON', 'PRON', 'VERB', 'DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', 'MISC', 'MISC', 'MISC', 'MISC']"
58,58,DATE,nl,Wanneer werd het Verdrag van Rome getekend?,"['ADV', 'VERB', 'DET', 'NOUN', 'PROPN', 'PROPN', 'VERB', 'PUNCT']","['', '', '', 'ORG', 'ORG', 'ORG', '', '']"
59,59,DATE,en,When was the Treaty of Rome signed?,"['ADV', 'VERB', 'DET', 'PROPN', 'ADP', 'PROPN', 'VERB', 'PUNCT']","['', '', '', '', '', '', '', '']"
60,60,DATE,it,Quando viene sottoscritto l'Atto Unico?,"['ADV', 'AUX', 'VERB', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', 'MISC', 'MISC', '']"
61,61,DATE,es,¿Cuándo se firmo el Acta Única Europea?,"['PUNCT', 'PRON', 'PRON', 'VERB', 'DET', 'PROPN', 'PROPN', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', 'MISC', 'MISC', 'MISC', '']"
62,62,DATE,nl,Wanneer werd de Europese Akte getekend?,"['ADV', 'VERB', 'DET', 'ADJ', 'X', 'VERB', 'PUNCT']","['', '', '', 'MISC', 'MISC', '', '']"
63,63,DATE,en,When was the Single European Act signed?,"['ADV', 'VERB', 'DET', 'PROPN', 'PROPN', 'PROPN', 'VERB', 'PUNCT']","['', '', 'LAW', 'LAW', 'LAW', 'LAW', '', '']"
64,64,DATE,it,Quando è stato stipulato il Trattato di Maastricht?,"['ADV', 'AUX', 'AUX', 'VERB', 'DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', 'MISC', 'MISC', 'MISC', '']"
65,65,DATE,es,¿Cuándo se firmó el Tratado de Maastricht?,"['PUNCT', 'PRON', 'PRON', 'VERB', 'DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', 'MISC', 'MISC', 'MISC', '']"
66,66,DATE,nl,Wanner werd het Verdrag van Maastricht getekend?,"['NOUN', 'VERB', 'DET', 'NOUN', 'PROPN', 'PROPN', 'VERB', 'PUNCT']","['PER', '', '', 'MISC', 'MISC', 'MISC', '', '']"
67,67,DATE,en,When was the Maastricht Treaty signed?,"['ADV', 'VERB', 'DET', 'PROPN', 'PROPN', 'VERB', 'PUNCT']","['', '', 'ORG', 'ORG', 'ORG', '', '']"
68,68,LOCATION,it,Qual è il paese europeo col più alto tasso di consumo di alcol?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'NOUN', 'ADV', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['LOC', '', '', '', '', '', '', '', '', '', '', '', '', '']"
69,69,LOCATION,es,¿Qué país europeo es el mayor consumidor de alcohol?,"['PUNCT', 'DET', 'NOUN', 'ADJ', 'AUX', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', '', '', '', '']"
70,70,LOCATION,nl,Welke Europees land heeft de hoogste alcoholconsumptie?,"['PRON', 'ADJ', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","['LOC', 'LOC', '', '', '', '', '', '']"
71,71,LOCATION,en,Which European country has the highest rate of alcohol consumption?,"['DET', 'ADJ', 'NOUN', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'PUNCT']","['', 'NORP', '', '', '', '', '', '', '', '', '']"
72,72,MEASURE,it,Quanti abitanti ha la Svezia?,"['DET', 'NOUN', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', 'LOC', '']"
73,73,MEASURE,es,¿Cuántos habitantes tiene Suecia?,"['PUNCT', 'PROPN', 'NOUN', 'VERB', 'PROPN', 'PUNCT']","['', 'ORG', '', '', 'LOC', '']"
74,74,MEASURE,nl,Hoeveel inwoners heeft Zweden?,"['NUM', 'NOUN', 'VERB', 'NOUN', 'PUNCT']","['', '', '', 'LOC', '']"
75,75,MEASURE,en,How many inhabitants does Sweden have?,"['ADV', 'ADJ', 'NOUN', 'VERB', 'PROPN', 'VERB', 'PUNCT']","['', '', '', '', 'GPE', '', '']"
76,76,MEASURE,it,Quanti abitanti ha Berlino?,"['DET', 'NOUN', 'VERB', 'PROPN', 'PUNCT']","['', '', '', 'LOC', '']"
77,77,MEASURE,es,¿Cuántos habitantes tiene Berlín?,"['PUNCT', 'PROPN', 'NOUN', 'VERB', 'PROPN', 'PUNCT']","['', 'ORG', '', '', 'MISC', '']"
78,78,MEASURE,nl,Hoeveel inwoners heeft Berlijn?,"['NUM', 'NOUN', 'VERB', 'NOUN', 'PUNCT']","['', '', '', 'LOC', '']"
79,79,MEASURE,en,How many inhabitants are there in Berlin?,"['ADV', 'ADJ', 'NOUN', 'VERB', 'ADV', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'GPE', '']"
80,80,MEASURE,it,Quanto costa una pillola di extasy in Olanda?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', 'LOC', '']"
81,81,MEASURE,es,¿Cuánto cuesta una pastilla de éxtasis en Holanda?,"['PUNCT', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', 'LOC', '', '', '', '', '', '', 'LOC', '']"
82,82,MEASURE,nl,Hoeveel kost een XTC pil?,"['NUM', 'VERB', 'DET', 'NOUN', 'NOUN', 'PUNCT']","['', '', '', '', '', '']"
83,83,MEASURE,en,How much does a pill of extasy cost in Holland?,"['ADV', 'ADJ', 'VERB', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', 'GPE', '']"
84,84,PERSON,it,Come si chiama il primo ministro Olandese?,"['ADV', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADJ', 'PUNCT']","['', '', '', '', '', '', 'LOC', '']"
85,85,PERSON,es,¿Cómo se llama el primer ministro holandés?,"['PUNCT', 'PRON', 'PRON', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADJ', 'PUNCT']","['', 'LOC', '', '', '', '', '', '', '']"
86,86,PERSON,nl,Hoe heet de Nederlandse premier?,"['ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","['', '', '', 'MISC', '', '']"
87,87,PERSON,en,What is the name of the Dutch Prime Minister?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'NORP', '', '', '']"
88,88,MEASURE,it,Quanti abitanti ebrei ha Israele?,"['DET', 'NOUN', 'ADJ', 'VERB', 'PROPN', 'PUNCT']","['', '', '', '', 'LOC', '']"
89,89,MEASURE,es,¿Cuántos habitantes judíos hay en Israel?,"['PUNCT', 'NOUN', 'NOUN', 'ADJ', 'AUX', 'ADP', 'PROPN', 'PUNCT']","['', 'ORG', '', '', '', '', 'LOC', '']"
90,90,MEASURE,nl,Hoeveel Joodse inwoners heeft Israel?,"['NUM', 'ADJ', 'NOUN', 'VERB', 'NOUN', 'PUNCT']","['', 'MISC', '', '', 'LOC', '']"
91,91,MEASURE,en,How many Jewish inhabitants does Israel have?,"['ADV', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'PROPN', 'VERB', 'PUNCT']","['', '', 'NORP', '', '', 'GPE', '', '']"
92,92,MEASURE,it,Quanti abitanti ha l'Iraq?,"['DET', 'NOUN', 'VERB', 'DET', 'PROPN', 'PUNCT']","['', '', '', '', 'LOC', '']"
93,93,MEASURE,es,¿Cuántos habitantes hay en Irak?,"['PUNCT', 'PROPN', 'NOUN', 'AUX', 'ADP', 'PROPN', 'PUNCT']","['', 'ORG', '', '', '', 'LOC', '']"
94,94,MEASURE,nl,Hoeveel inwoners heeft Irak?,"['NUM', 'NOUN', 'VERB', 'NOUN', 'PUNCT']","['', '', '', 'LOC', '']"
95,95,MEASURE,en,How many inhabitants does Iraq have?,"['ADV', 'ADJ', 'NOUN', 'VERB', 'PROPN', 'VERB', 'PUNCT']","['', '', '', '', 'GPE', '', '']"
96,96,MEASURE,it,Quanti sono gli stati membri delle Nazioni Unite?,"['PRON', 'VERB', 'DET', 'NOUN', 'NOUN', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', 'ORG', 'ORG', '']"
97,97,MEASURE,es,¿Cuántos países miembros hay en las Naciones Unidas?,"['PUNCT', 'NOUN', 'NOUN', 'NOUN', 'AUX', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', 'ORG', '', '', '', '', '', 'ORG', 'ORG', '']"
98,98,MEASURE,nl,Hoeveel lidstaten heeft de Verenigde Naties?,"['NUM', 'NOUN', 'VERB', 'DET', 'NOUN', 'PROPN', 'PUNCT']","['', '', '', '', 'ORG', 'ORG', '']"
99,99,MEASURE,en,How many member countries are there in the United Nations?,"['ADV', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'ADV', 'ADP', 'DET', 'PROPN', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', 'ORG', 'ORG', 'ORG', '']"
100,100,DATE,it,Quando le Nazioni Unite hanno decretato l'embargo in Iraq?,"['SCONJ', 'DET', 'PROPN', 'PROPN', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', 'ORG', 'ORG', '', '', '', '', '', 'LOC', '']"
101,101,DATE,es,¿Cuándo decidió Naciones Unidas imponer el embargo sobre Irak?,"['PUNCT', 'PRON', 'VERB', 'PROPN', 'PROPN', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['MISC', 'MISC', 'MISC', 'MISC', 'MISC', '', '', '', '', 'LOC', '']"
102,102,DATE,nl,Wanneer stelde de Verenigde Naties een embargo in tegen Irak?,"['ADV', 'VERB', 'DET', 'NOUN', 'PROPN', 'DET', 'NOUN', 'ADV', 'ADP', 'NOUN', 'PUNCT']","['', '', '', 'ORG', 'ORG', '', '', '', '', 'LOC', '']"
103,103,DATE,en,When did the United Nations decide to impose the embargo on Iraq?,"['ADV', 'VERB', 'DET', 'PROPN', 'PROPN', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', 'ORG', 'ORG', 'ORG', '', '', '', '', '', '', 'GPE', '']"
104,104,MEASURE,it,Quanti sono gli abitanti della Cecenia?,"['PRON', 'VERB', 'DET', 'NOUN', 'VERB', 'PROPN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
105,105,MEASURE,es,¿Cuántos habitantes tiene Chechenia?,"['PUNCT', 'PROPN', 'NOUN', 'VERB', 'PROPN', 'PUNCT']","['', 'ORG', '', '', 'LOC', '']"
106,106,MEASURE,nl,Hoeveel inwoners heeft Tsjetsjenië?,"['NUM', 'NOUN', 'VERB', 'NOUN', 'PUNCT']","['', '', '', 'LOC', '']"
107,107,MEASURE,en,How many inhabitants does Chechnya have?,"['ADV', 'ADJ', 'NOUN', 'VERB', 'PROPN', 'VERB', 'PUNCT']","['', '', '', '', 'GPE', '', '']"
108,108,PERSON,it,Quale personaggio politico ha deciso di intervenire in Cecenia con truppe militari?,"['DET', 'NOUN', 'ADJ', 'AUX', 'VERB', 'ADP', 'VERB', 'ADP', 'PROPN', 'ADP', 'NOUN', 'ADJ', 'PUNCT']","['', '', '', '', '', '', '', '', 'LOC', '', '', '', '']"
109,109,PERSON,es,¿Qué político decidió la intervención militar en Chechenia?,"['PUNCT', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'PROPN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', '', 'LOC', '']"
110,110,PERSON,nl,---,['PUNCT'],['']
111,111,PERSON,en,Which politician decided to intervene militarily in Chechnya?,"['DET', 'NOUN', 'VERB', 'PART', 'VERB', 'ADV', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', 'GPE', '']"
112,112,PERSON,it,Chi è il leader della Bosnia?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'PROPN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
113,113,PERSON,es,¿Quién es el líder bosnio?,"['PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'NOUN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '']"
114,114,PERSON,nl,Wie is de leider van Bosnië?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
115,115,PERSON,en,Who is the leader of Bosnia?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', 'GPE', '']"
116,116,MEASURE,it,Qual è il valore di scambio dello yuan rispetto al dollaro?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '']"
117,117,MEASURE,es,¿Cuál es el cambio del yuan al dólar?,"['PUNCT', 'PRON', 'AUX', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","['MISC', 'MISC', '', '', '', '', '', '', '', '']"
118,118,MEASURE,nl,Hoeveel is een yuan waard in dollars?,"['NUM', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '']"
119,119,MEASURE,en,What is the exchange rate of the yuan to the dollar?,"['PRON', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","['', '', '', '', '', '', '', '', '', '', '', '']"
120,120,MEASURE,it,Quanti sono i cantoni svizzeri?,"['PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'PUNCT']","['', '', '', '', '', '']"
121,121,MEASURE,es,¿Cuántos cantones hay en Suiza?,"['PUNCT', 'NOUN', 'NOUN', 'AUX', 'ADP', 'PROPN', 'PUNCT']","['', 'ORG', '', '', '', 'LOC', '']"
122,122,MEASURE,nl,Hoeveel kantons zijn er in Zwitserland?,"['NUM', 'NOUN', 'VERB', 'ADV', 'ADP', 'NOUN', 'PUNCT']","['', '', '', '', '', 'LOC', '']"
123,123,MEASURE,en,How many Swiss cantons are there?,"['ADV', 'ADJ', 'ADJ', 'NOUN', 'VERB', 'ADV', 'PUNCT']","['', '', 'NORP', '', '', '', '']"
124,124,DATE,it,Quando è stata abolita la pena di morte in Francia?,"['ADV', 'AUX', 'AUX', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PUNCT']","['', '', '', '', '', '', '', '', '', 'LOC', '']"
